"gisid","1_1","1_2","1_3","2_1","2_2","2_3"
"801205.841741731_6056768.97982279",0,1,1,0,0,0
"801220.146274935_6057098.58415811",0,0,0,0,0,0
"749715.951862186_6234731.96354206",0,0,0,0,0,0
"797126.564345312_6054111.9214128",0,0,0,1,0,0
"749746.738953116_6232978.13633333",0,0,0,0,0,0
"751563.988278332_6234176.91144277",0,0,0,0,0,0
"801344.982879189_6057457.52826208",0,0,0,0,0,0
"797148.053163594_6056495.59086922",0,0,0,0,0,0
"796460.702572256_6057687.25218114",0,0,0,1,0,0
"800126.843292342_6057006.13242225",0,0,1,0,0,0
"749758.184799916_6234195.28812412",0,0,0,0,0,0
"753294.929991275_6233567.03156996",0,0,0,0,0,0
"757503.772842967_6062376.43780023",0,0,0,0,0,0
"757657.481643006_6062772.99384538",0,0,0,0,0,0
"757989.853303458_6062884.05537411",0,0,0,0,0,0
"594712.688183657_6122520.51246941",0,0,0,0,0,0
"594907.556617608_6122323.27331424",1,0,0,0,0,0
"593618.093234717_6121703.05774318",1,0,0,1,0,0
"796520.404819855_6057079.2257972",0,0,1,0,0,0
"600180.339734629_6116828.19246138",0,0,0,0,0,0
"599954.450466952_6116805.29254618",0,0,0,0,0,1
"599130.0666802_6116168.30452055",0,1,0,0,0,0
"757770.613643725_6061492.73653079",1,1,0,0,0,0
"591073.479228384_6123352.16528134",0,0,0,0,0,0
"599434.551169044_6117578.24385387",1,0,0,0,1,0
"591145.663325083_6122931.92125153",0,0,0,0,0,0
"702664.941373597_6093378.49794009",0,0,0,0,0,0
"796521.805039536_6054733.90772898",0,0,0,0,0,0
"600630.607177242_6116572.86699212",1,0,0,1,0,0
"593401.342191182_6124435.53881264",0,0,0,0,0,0
"795897.786881511_6058243.49977759",0,0,0,0,0,0
"757313.352093874_6062025.85577652",1,1,1,0,0,1
"748547.931660842_6232398.35722273",0,0,0,0,0,0
"797723.336329054_6054685.13586251",0,0,0,0,0,0
"748531.627144324_6231799.27735437",0,0,0,0,0,0
"759702.947163228_6062733.30359924",0,0,0,0,0,0
"760490.107958534_6062741.1408506",1,0,0,0,0,0
"761168.8321335_6062805.95992436",0,0,0,1,1,1
"708618.831499531_6368768.81099016",0,0,0,0,0,0
"244103.991975839_6068143.50602135",0,0,0,0,0,1
"667781.044658548_6066578.18914341",0,0,0,0,0,0
"718637.049306348_6514688.95489432",0,0,0,0,0,0
"654710.695772977_6605125.77310464",0,0,0,0,0,0
"658084.128851676_6622141.34874951",0,0,0,0,0,0
"658565.673570066_6621986.83324447",0,0,0,0,0,0
"605668.507371379_6131705.76620526",0,0,0,0,0,0
"656376.58754671_6598799.05025856",0,0,0,0,0,0
"656876.698862292_6598823.24615592",0,0,0,0,0,0
"656922.952907455_6598325.90138407",0,0,0,0,0,0
"644901.352882056_6647398.94458137",0,0,0,0,0,0
"659089.918201581_6620015.26545015",0,0,0,0,0,0
"659105.728771112_6596676.87034093",0,0,0,0,0,0
"659145.025972469_6619489.3246827",0,0,0,0,0,0
"604696.080041689_6137702.58674394",0,0,0,0,0,0
"641853.408467414_6646366.81142732",0,0,0,0,0,0
"693562.82648052_6622588.52392018",0,0,0,0,0,0
"693665.730591664_6623241.80474296",0,0,0,0,0,0
